HS 1996 Product Code,HS 1996 Product Description,MTN Categories Product Code,MTN Categories Product Description
940130,Swivel seats with variable height adjustment,0103,"Wood, pulp, paper & furniture, finished manufactur"
940140,"Seats other than garden seats or camping equipment, convertible into beds",0103,"Wood, pulp, paper & furniture, finished manufactur"
940150,"Seats of cane, osier, bamboo or similar materials",0103,"Wood, pulp, paper & furniture, finished manufactur"
940161,"Other seats, with wooden frames :-- Upholstered",0103,"Wood, pulp, paper & furniture, finished manufactur"
940169,"Other seats, with wooden frames :-- Other",0103,"Wood, pulp, paper & furniture, finished manufactur"
940171,"Other seats, with metal frames :-- Upholstered",0103,"Wood, pulp, paper & furniture, finished manufactur"
940179,"Other seats, with metal frames :-- Other",0103,"Wood, pulp, paper & furniture, finished manufactur"
940180,Other seats,0103,"Wood, pulp, paper & furniture, finished manufactur"
940190,Parts,0103,"Wood, pulp, paper & furniture, finished manufactur"
940210,"Dentists', barbers' or similar chairs and parts thereof",0103,"Wood, pulp, paper & furniture, finished manufactur"
940290,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
940310,Metal furniture of a kind used in offices,0103,"Wood, pulp, paper & furniture, finished manufactur"
940320,Other metal furniture,0103,"Wood, pulp, paper & furniture, finished manufactur"
940330,Wooden furniture of a kind used in offices,0103,"Wood, pulp, paper & furniture, finished manufactur"
940340,Wooden furniture of a kind used in the kitchen,0103,"Wood, pulp, paper & furniture, finished manufactur"
940350,Wooden furniture of a kind used in the bedroom,0103,"Wood, pulp, paper & furniture, finished manufactur"
940360,Other wooden furniture,0103,"Wood, pulp, paper & furniture, finished manufactur"
940370,Furniture of plastics,0103,"Wood, pulp, paper & furniture, finished manufactur"
940380,"Furniture of other materials, including cane, osier, bamboo or similar materials",0103,"Wood, pulp, paper & furniture, finished manufactur"
940390,Parts,0103,"Wood, pulp, paper & furniture, finished manufactur"
940410,Mattress supports,0103,"Wood, pulp, paper & furniture, finished manufactur"
940421,"Mattresses :-- Of cellular rubber or plastics, whether or not covered",0103,"Wood, pulp, paper & furniture, finished manufactur"
940429,Mattresses :-- Of other materials,0103,"Wood, pulp, paper & furniture, finished manufactur"
940430,Sleeping bags,0103,"Wood, pulp, paper & furniture, finished manufactur"
510400,Garnetted stock of wool or of fine or coarse animal hair.,0201,"Textiles & clothing, raw materials"
510510,Carded wool,0201,"Textiles & clothing, raw materials"
510521,Wool tops and other combed wool :-- Combed wool in fragments,0201,"Textiles & clothing, raw materials"
510529,Wool tops and other combed wool :-- Other,0201,"Textiles & clothing, raw materials"
