HS - Combined  Product Code,HS - Combined  Product Description,BEC Product Code,BEC Product Description
270820,Pitch coke,22,Processed
271210,Petroleum jelly,22,Processed
271220,Paraffin wax containing by weight less than 0.75 % of oil,22,Processed
271290,Other,22,Processed
271311,Not calcined,22,Processed
271312,Calcined,22,Processed
271320,Petroleum bitumen,22,Processed
271390,Other residues of petroleum oils or of oils obtained from bituminous minerals,22,Processed
271500,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cutbacks).",22,Processed
280110,Chlorine,22,Processed
280120,Iodine,22,Processed
280130,Fluorine; bromine,22,Processed
280200,"Sulphur, sublimed or precipitated; colloidal sulphur.",22,Processed
280300,Carbon (carbon blacks and other forms of carbon not elsewhere specified or included).,22,Processed
280410,Hydrogen,22,Processed
280421,Argon,22,Processed
280429,Other,22,Processed
280430,Nitrogen,22,Processed
280440,Oxygen,22,Processed
280450,Boron; tellurium,22,Processed
280461,Containing by weight not less than 99.99 % of silicon,22,Processed
280469,Other,22,Processed
280470,Phosphorus,22,Processed
280480,Arsenic,22,Processed
280490,Selenium,22,Processed
280511,Sodium,22,Processed
280512,(2002-) Calcium,22,Processed
280519,Other,22,Processed
280521,(-2001) Alkaline-earth metals :-- Calcium,22,Processed
280522,(-2001) Alkaline-earth metals :-- Strontium and barium,22,Processed
280530,"Rareearth metals, scandium and yttrium, whether or not intermixed or interalloyed",22,Processed
280540,Mercury,22,Processed
280610,Hydrogen chloride (hydrochloric acid),22,Processed
280620,Chlorosulphuric acid,22,Processed
280700,Sulphuric acid; oleum.,22,Processed
280800,Nitric acid; sulphonitric acids.,22,Processed
280910,Diphosphorus pentaoxide,22,Processed
280920,Phosphoric acid and polyphosphoric acids,22,Processed
281000,Oxides of boron; boric acids.,22,Processed
281111,Hydrogen fluoride (hydrofluoric acid),22,Processed
281119,Other,22,Processed
281121,Carbon dioxide,22,Processed
281122,Silicon dioxide,22,Processed
281123,(-2006) Sulphur dioxide,22,Processed
281129,Other,22,Processed
281210,Chlorides and chloride oxides,22,Processed
281290,Other,22,Processed
281310,Carbon disulphide,22,Processed
281390,Other,22,Processed
281410,Anhydrous ammonia,22,Processed
281420,Ammonia in aqueous solution,22,Processed
281511,Solid,22,Processed
281512,In aqueous solution (soda lye or liquid soda),22,Processed
281520,Potassium hydroxide (caustic potash),22,Processed
281530,Peroxides of sodium or potassium,22,Processed
281610,Hydroxide and peroxide of magnesium,22,Processed
281620,"(-2001) Oxide, hydroxide and peroxide of strontium",22,Processed
281630,"(-2001) Oxide, hydroxide and peroxide of barium",22,Processed
281640,"(2002-) Oxides, hydroxides and peroxides, of strontium or barium",22,Processed
281700,Zinc oxide; zinc peroxide.,22,Processed
281810,"Artificial corundum, whether or not chemically defined",22,Processed
281820,"Aluminium oxide, other than artificial corundum",22,Processed
281830,Aluminium hydroxide,22,Processed
281910,Chromium trioxide,22,Processed
281990,Other,22,Processed
282010,Manganese dioxide,22,Processed
282090,Other,22,Processed
282110,Iron oxides and hydroxides,22,Processed
282120,Earth colours,22,Processed
282200,Cobalt oxides and hydroxides; commercial cobalt oxides.,22,Processed
282300,Titanium oxides.,22,Processed
282410,"Lead monoxide (litharge, massicot)",22,Processed
282420,(-2006) Red lead and orange lead,22,Processed
282490,Other,22,Processed
282510,Hydrazine and hydroxylamine and their inorganic salts,22,Processed
282520,Lithium oxide and hydroxide,22,Processed
