HS 1988/92 Product Code,HS 1988/92 Product Description,MTN Categories Product Code,MTN Categories Product Description
550200,Artificial filament tow,0201,"Textiles & clothing, raw materials"
550310,"Synthetic staple fibres, of nylon or other poly",0201,"Textiles & clothing, raw materials"
550320,"Synthetic staple fibres, of polyesters, not car",0201,"Textiles & clothing, raw materials"
550330,"Acrylic or modacrylic synthetic staple fibres,",0201,"Textiles & clothing, raw materials"
550340,"Synthetic staple fibres, of polypropylene, not",0201,"Textiles & clothing, raw materials"
550390,"Synthetic staple fibres, nes, not carded, etc",0201,"Textiles & clothing, raw materials"
550410,"Artificial staple fibres, of viscose rayon, not",0201,"Textiles & clothing, raw materials"
550490,"Artificial staple fibres, (excl. viscose), not",0201,"Textiles & clothing, raw materials"
550510,"Waste of synthetic fibre, (incl. noils, yarn wa",0201,"Textiles & clothing, raw materials"
550520,"Waste of artificial fibre, (incl. noils, yarn w",0201,"Textiles & clothing, raw materials"
550610,"Synthetic staple fibres, of nylon or other poly",0201,"Textiles & clothing, raw materials"
